,ID,School
274417,356965,Southern Cali
245789,356971,UCLA
282811,356971,Villanova
179156,356989,Queens (NC)
134370,356989,Florida St
870,357053,SIUC (M)
171111,357053,Colorado Mesa
149350,357082,Arizona
98179,357082,Notre Dame
249028,357091,Florida St
275726,357091,LSU
126828,357093,Wash U. MO
155630,357093,Brown
74997,357119,Nebraska
291565,357119,Utah
22661,357141,South Dakota St
146457,357141,IU Indianapolis
244706,357272,Air Force (W)
115773,357272,Air Force (M)
132619,357396,Seattle U (M)
71230,357396,Seattle U (W)
232217,357475,UNLV (W)
9005,357475,UNLV (M)
30614,357516,TAMPA
153334,357516,Duke
132412,357568,Seattle U (M)
71217,357568,Seattle U (W)
204680,357568,Whitworth
20309,357576,TCU
240131,357576,Kansas
244370,357628,Pacific
294346,357628,Fresno Pacific
20772,357638,UC Davis
262472,357638,California
3840,357744,Florida
281989,357744,Miami (FL)
250486,357890,East Carolina
246535,357890,Alabama
263439,357894,Texas A&M
3898,357894,Missouri
156409,358816,Evansville (M)
111694,358816,Evansville (W)
48157,359211,Fla Atlantic (W)
167132,359211,Fla Atlantic (M)
254929,359222,Old Dominion (W)
108252,359222,Old Dominion (M)
268834,359233,IU Indianapolis
118741,359233,SMU
271604,359628,Hawaii
233619,359628,Pepperdine
11709,360002,Iowa
165290,360002,Arizona
240868,360077,Ohio St
291165,360077,UCLA
230911,361565,Akron
281334,361565,NC State
162126,361852,Delaware
195969,361852,Centenary (LA)
143707,362575,TCU
133517,362575,Michigan
33807,362602,Southern Cali
192811,362602,NYU
218266,362602,Emory
152660,363065,Wyoming (M)
11565,363065,Wyoming (W)
138507,363076,Ball State
152734,363076,Grand Canyon
170585,363795,Concordia Irvine
183197,363795,Colorado Mesa
141120,363812,Wyoming (M)
80479,363812,Wyoming (W)
246583,363881,Missouri
26274,363881,Boise St
272944,363917,UNLV (W)
65413,363917,UNLV (M)
75143,365095,Florida St
254790,365095,FGCU
242860,365639,Illinois-Chicago
65177,365639,Illinois Chicago (W)
30982,366948,Old Dominion (M)
156142,366948,Rider
348715,367117,SUNY Geneseo
38918,367117,Denison
125513,367225,Edinboro
308938,367225,PennWest
317207,367281,Allegheny
313886,367281,Gannon
348956,367281,Buffalo St.
344951,367386,WPUNJ
316237,367386,Trinity C.
123625,367459,Canisius
314860,367459,Bridgewater St.
260676,367461,Air Force (W)
107076,367461,Air Force (M)
247015,368018,Auburn
331854,368018,Bates
50869,368251,MIT
287425,368251,Columbia
230135,368903,Iona Coll
302551,368903,MSU Mankato
19455,369405,Niagara
281847,369405,Virginia
315240,369405,Hood
101477,371434,Fla Atlantic (W)
293449,371434,West Florida
251980,371829,Iowa State
46947,371829,Tulane
61500,371919,Western Ill
277049,371919,South Dakota
66429,371972,New Mexico
255311,371972,Liberty
342516,372149,Saint Benedict
294061,372149,Northern State
248052,372159,South Dakota St
265967,372159,Denver
252000,372280,Iowa State
317085,372280,Denison
242909,372281,Illinois-Chicago
27213,372281,Illinois Chicago (W)
309936,372388,Colorado Mesa
88885,372388,Evansville (W)
156470,372388,Evansville (M)
31656,372952,UNLV (M)
232073,372952,UNLV (W)
178640,375186,Concordia Irvine
141303,375186,Cal Baptist
286440,375373,Rhode Island
228572,375373,UMBC
53097,375807,Fla Atlantic (W)
145982,375807,Fla Atlantic (M)
310507,375978,Nova S'eastern
235959,375978,Duquesne
201377,376063,Macalester
134822,376063,Florida St
186619,376063,TAMPA
233417,376073,Arizona St
305143,376073,Nova S'eastern
256343,376094,Illinois-Chicago
114385,376094,Illinois Chicago (W)
291414,376161,Utah
36559,376161,LSU
185270,376235,Ouachita
170185,376235,McKendree
53098,376278,Fla Atlantic (W)
167227,376278,Fla Atlantic (M)
240304,376418,TCU
74665,376418,Arkansas
133408,376430,Indiana
136107,376430,Texas
238562,376472,Duke
249518,376472,Notre Dame
323168,376503,Lynchburg
355966,376503,Oberlin
124934,376637,Texas
291551,376637,California
260453,376645,UNLV (W)
61778,376645,UNLV (M)
260725,376646,Air Force (W)
76137,376646,Air Force (M)
233585,377196,Pepperdine
271808,377196,UC Davis
240154,377198,Texas
281342,377198,NC State
133721,377221,Northwestern
157982,377221,Southern Cali
230133,377247,Brown
140601,377247,American
211949,377488,St. Norbert
81367,377488,Milwaukee
107008,377636,Eastern Mich
244014,377636,SIUC (W)
33385,378191,Penn St
154474,378191,Fla Atlantic (M)
232161,379513,Air Force (W)
74469,379513,Air Force (M)
45578,379699,Dickinson
343075,379699,Marymount
144761,382292,Northwestern
121024,382292,Dartmouth
136979,382327,Michigan
153163,382327,NC State
60276,382476,Whitman
155430,382476,Columbia
114943,382759,Alabama
349450,382759,Emory
252285,382868,TCU
280506,382868,Iowa
347332,384509,Saint Vincent
82844,384509,Evansville (W)
232123,384717,Wyoming (W)
268073,384717,Incarnate Word
51643,385107,Davidson
277949,385107,GW
167748,385310,Brigham Young
111743,385310,Utah
129956,386022,Evansville (M)
97798,386022,Evansville (W)
154586,386029,Fla Atlantic (M)
127140,386029,Cincinnati
278300,388400,Fordham
240288,388400,TCU
157974,389040,California
42586,389040,Michigan
129843,391671,Evansville (M)
52378,391671,Evansville (W)
198179,392120,Franklin
62797,392120,Seton Hall
187757,392135,Hanover
224348,392135,Oberlin
80664,392757,Louisville
153125,392757,Notre Dame
25866,393533,Vermont
280854,393533,Northeastern
114326,394192,Old Dominion (M)
281419,394192,Pittsburgh
229180,394192,Old Dominion (W)
189736,394527,Tufts
135209,394527,Virginia Tech
128763,394527,Virginia MI
187520,394681,Hartwick
213102,394681,Trinity C.
207759,394762,SUNY Geneseo
72810,394762,Saint Rose
69424,395868,Marist
207908,395868,SUNY Cortland
40188,396208,Buffalo St.
142873,396208,SMU
192472,396785,SUNY Fredonia
217758,396785,SUNY Oneonta
160037,398074,South Dakota
143152,398074,St. Bonaventure
315004,398158,Calvin
260295,398158,Pacific
151449,398248,Army
19447,398248,Ball State
133824,398799,Iowa
165216,398799,Arizona
51123,398931,Arizona St
158280,398931,Missouri
101270,398938,Eastern Ill
350560,398938,Millikin
62708,398971,Wyoming (W)
160183,398971,Wyoming (M)
32977,398972,Missouri St. (M)
177175,398972,Jewell
135133,399036,Louisville
22502,399036,Utah
355223,399099,Mary Washington
290166,399099,Kansas
233641,399099,South Carolina
105899,399121,Drury
206427,399121,Millsaps
95332,399591,Wyoming (W)
132475,399591,Wyoming (M)
46888,399652,Iowa
342139,399652,Lake Forest
256210,399684,Illinois-Chicago
55612,399684,Illinois Chicago (W)
52266,399715,Illinois Chicago (W)
146227,399715,Illinois-Chicago
232444,399803,Bryant U (W)
281461,399803,Boston College
19498,399803,Bryant U (M)
107907,399905,Air Force (M)
260686,399905,Air Force (W)
171753,400273,Florida Southern
137957,400273,Cleveland St
616,400803,Notre Dame
167310,400803,SMU
88001,400852,Seattle U (W)
141174,400852,Seattle U (M)
253183,400857,Northwestern
286212,400857,GW
245904,400864,Washington St.
231380,400864,UCSB
2293,400878,Coast Guard
216060,400878,W&L
244753,400920,UNLV (W)
26234,400920,UNLV (M)
337051,400923,Redlands
255647,400923,Fla Atlantic (W)
121180,401354,Arizona St
216538,401354,BSC
86373,401431,Louisville
