Name,School,Power,Link,Hometown
Kevin Burke,IU Indianapolis,-1,/swimmer/457047,
Jeff Wiedoff,Illinois-Chicago,-1,,
Javi Quinones,Oakland,-1,,
Marko Khotynetskyi,Oakland,-1,/swimmer/933315,
Ryan Geheb,Oakland,-1,/swimmer/272943,
Wes Wickens,IU Indianapolis,-1,,
Wilson Cannon,Youngstown St,-1,/swimmer/482566,
John Ruan,Milwaukee,-1,/swimmer/399622,
Jack Krusinski,Cleveland St,-1,/swimmer/546248,
Conrad Farrell,Milwaukee,-1,/swimmer/417180,
Bob Lenart,Cleveland St,-1,,
Cameron Green,IU Indianapolis,-1,NoMatch,
Didac Silva Alcoba,Wis.- Green Bay,-1,/swimmer/1281096,
Sam Smith,Oakland,-1,/swimmer/403420,
Andrew Evans,Oakland,-1,/swimmer/482597,
Nathen Eberhardt,Cleveland St,-1,,
Jeremiah Mansavage,Wis.- Green Bay,-1,,
Brandon Cheong,Youngstown St,-1,/swimmer/510603,
Jonathan Kollen,Milwaukee,-1,/swimmer/461419,
Quinn Yeager,Milwaukee,-1,/swimmer/403550,
Josh Dellorto,Illinois-Chicago,-1,,
Tim Kubacki,Cleveland St,-1,,
Eric Wesolowski,Wis.- Green Bay,-1,/swimmer/481856,
Geffen Chang,Oakland,-1,/swimmer/652793,
Owen Zant,Illinois-Chicago,-1,/swimmer/456994,
Jack Garcia,Milwaukee,-1,/swimmer/408657,
Ryan Scherer,Youngstown St,-1,/swimmer/482606,
Jackson Shellogg,Youngstown St,-1,,
Ben Davis,Oakland,-1,NoMatch,
Dominik Niedzialek,Cleveland St,-1,/swimmer/615585,
Danylo Hrebelnyi,Oakland,-1,,
Kyle Lewarchick,Illinois-Chicago,-1,/swimmer/487006,
Jacob Weber,Milwaukee,-1,/swimmer/484774,
Carson Niemiec,Milwaukee,-1,/swimmer/401131,
Dillon Stangeland,IU Indianapolis,-1,/swimmer/489007,
Philip DeJonge,Oakland,-1,/swimmer/400449,
Riley Lohse,IU Indianapolis,-1,/swimmer/403912,
Mason Schoof,Milwaukee,-1,/swimmer/506461,
Andrew Bernsdorf,Oakland,-1,/swimmer/412568,
Max Boehnlein,Wis.- Green Bay,-1,,
Nick Dibley,IU Indianapolis,-1,,
Jordan Sopjes,Wis.- Green Bay,-1,/swimmer/460820,
Ben Rojewski,Oakland,-1,,
Will Barton,Oakland,-1,,
Ryan Ramminger,Wis.- Green Bay,-1,/swimmer/334834,
Dan Galante,IU Indianapolis,-1,,
Ian Allen,Oakland,-1,/swimmer/463176,
Ben Gabbey,Illinois-Chicago,-1,,
Daniel Jablonski,Milwaukee,-1,/swimmer/701079,
Umitcan Gures,Harvard,-1,,
Joe Page,Yale,-1,/swimmer/1065646,
Ryan Linnihan,Harvard,-1,/swimmer/401079,
Matthew Dieffenthaller,Penn,-1,/swimmer/375776,
Max Walther,Princeton,-1,,
Connor Lee,Yale,-1,/swimmer/377226,
Nicholas Lim,Princeton,-1,/swimmer/544617,
Nathan Stern,Yale,-1,/swimmer/433464,
Thomas Shepanzyk,Columbia,-1,/swimmer/478412,
Jonathan Pollock,Princeton,-1,/swimmer/357024,
Jeremy Marcin,Cornell,-1,/swimmer/376729,
Greg Kalin,Yale,-1,/swimmer/482501,
Connor Lamastra,Dartmouth,-1,/swimmer/382292,
Tim Park,Dartmouth,-1,,
Marcus Holmquist,Harvard,-1,/swimmer/670197,
Tim Cushman,Dartmouth,-1,,
Pierce Dietze,Harvard,-1,/swimmer/433230,
Ray Yang,Columbia,-1,/swimmer/640888,
Raunak Khosla,Princeton,-1,/swimmer/449644,
Daniel Kim,Harvard,-1,/swimmer/357424,
Paige Dacosta,Cornell,-1,,
Connor Bishop,Dartmouth,-1,/swimmer/482580,
Keegan Drew,Columbia,-1,/swimmer/460518,
Jack Casey,Cornell,-1,/swimmer/399878,
Michael Chang,Columbia,-1,/swimmer/397429,
Evan Schott,Yale,-1,/swimmer/482977,
Cameron Matthews,Princeton,-1,/swimmer/791180,
Dylan Porges Avila,Princeton,-1,,
Ryan Brown,Cornell,-1,/swimmer/291407,
Cole Kuster,Harvard,-1,/swimmer/495492,
Ethan Banks,Dartmouth,-1,/swimmer/383448,
Joshua Kim,Princeton,-1,NoMatch,
Tobin Hickman-Chow,Yale,-1,,
Miguel Jacome,Princeton,-1,,
John Ehling,Princeton,-1,/swimmer/547190,
Gunner Grant,Harvard,-1,,
Joe Moll,Dartmouth,-1,,
Tyler Lu,Brown,-1,,
Mark McCrary,Penn,-1,/swimmer/417824,
Lukas Scheidl,Brown,-1,/swimmer/169410,
Peyton Werner,Princeton,-1,/swimmer/540169,
Vincent Huang,Brown,-1,/swimmer/454314,
Noah Brune,Harvard,-1,/swimmer/496872,
Chris Aubin,Princeton,-1,,
Chris Kostelni,Cornell,-1,,
Simon Lamar,Harvard,-1,/swimmer/412006,
Liam Bogart,Yale,-1,/swimmer/452384,
Ben Hayes,Brown,-1,,
Jami Rzepecki,Yale,-1,,
Jason Schreiber,Penn,-1,/swimmer/376616,
Jared Simpson,Harvard,-1,/swimmer/392983,
Reid Arwood,Brown,-1,/swimmer/473853,
Colin Mackellar,Brown,-1,/swimmer/490923,
Jack O'Connor,Yale,-1,,
Neil Simpson,Penn,-1,/swimmer/545017,
Jacob Bass,Cornell,-1,/swimmer/459299,
Calvin Yang,Yale,-1,/swimmer/348314,
Ike Shirakata,Columbia,-1,,
David Abrahams,Harvard,-1,/swimmer/463377,
Alex Petty,Harvard,-1,,
Jack Valiquette,Cornell,-1,/swimmer/475237,
Marcos Ortiz,Yale,-1,/swimmer/572295,
Alec Kong,Dartmouth,-1,/swimmer/693991,
Ahmed Sallam,Marist,-1,/swimmer/1189425,
Blake Reynolds,Monmouth,-1,/swimmer/463633,
Ethan McCormac,Marist,-1,/swimmer/597145,
Aidan Holbrook,Iona Coll,-1,/swimmer/344489,
Joseph Gewartowski,Rider,-1,,
Conor Mullin,Iona Coll,-1,/swimmer/329412,
Jack Ruggieri,Rider,-1,/swimmer/395296,
Evan Fair,Fairfield,-1,/swimmer/675746,
Thomas From,Monmouth,-1,,
Alex Hiltbrand,Canisius,-1,,
Mike Maurer,Canisius,-1,,
Kyle Kimerer,Canisius,-1,/swimmer/399308,
Matthew Lequang,Rider,-1,,
Peter Gori,Fairfield,-1,/swimmer/522316,
Liam O'Connell,Canisius,-1,,
Dylan Barkhuizen,Monmouth,-1,/swimmer/462876,
Daniel Hadary,Iona Coll,-1,/swimmer/397215,
Thomas Willemse,Fairfield,-1,/swimmer/456993,
Adam Sokolowski,Canisius,-1,/swimmer/396696,
Tyler Prosser,Niagara,-1,/swimmer/471685,
Emil Bajramovic,Iona Coll,-1,/swimmer/495171,
Jalen Ramjohn,Iona Coll,-1,/swimmer/383115,
David Son,Iona Coll,-1,NoMatch,
Callan Smith,Monmouth,-1,/swimmer/638697,
Jake Demartino,Iona Coll,-1,/swimmer/494662,
Connor Way,Canisius,-1,/swimmer/395083,
Will Robinson,Fairfield,-1,,
Brendan Vieira,Saint Peter's,-1,/swimmer/704889,
Mauro Pacsi,Iona Coll,-1,/swimmer/397708,
Jack Moran,Iona Coll,-1,NoMatch,
Luke McDonald,Monmouth,-1,/swimmer/612972,
Jr Leitz,Monmouth,-1,,
Dalton Stier,Niagara,-1,/swimmer/424200,
Chris Ford,Fairfield,-1,/swimmer/490874,
Jackson Madonia,Iona Coll,-1,/swimmer/344703,
Brody Biebel,Fairfield,-1,/swimmer/489318,
Grant Edwards,Iona Coll,-1,/swimmer/453678,
Aj Yost,Canisius,-1,,
Mason Adams,Canisius,-1,/swimmer/245118,
Jordan Chatelle,Canisius,-1,/swimmer/396278,
branden deiss,Manhattan,-1,/swimmer/757452,
Louis Quinn,Manhattan,-1,,
Matthew Torres,Fairfield,-1,/swimmer/510192,
Lucas Racevicius,Rider,-1,/swimmer/616546,
Spencer Moran,Iona Coll,-1,/swimmer/405615,
Austin Twiss,Fairfield,-1,/swimmer/490991,
Joe Blake,Canisius,-1,,
Noah Brooks,Niagara,-1,/swimmer/661987,
Mason Arnberg,Marist,-1,/swimmer/395868,
Kyle Iorizzo,Rider,-1,/swimmer/399864,
Adam Kapusta,Marist,-1,/swimmer/399910,
Charles Scheel,Marist,-1,,
Dylan Edge,Monmouth,-1,/swimmer/445151,
Patrick Boyle,Fairfield,-1,/swimmer/397408,
Timothy Cusack-Mcpartlin,Fairfield,-1,/swimmer/400008,
Jordan Read,Canisius,-1,/swimmer/377095,
David Cooper,Rider,-1,/swimmer/399035,
Nathan Heisey,Monmouth,-1,/swimmer/612038,
Sean Doran,Marist,-1,/swimmer/423736,
David Rucci,Rider,-1,/swimmer/453865,
Andrew Iannacone,Rider,-1,/swimmer/495067,
Jack Rogers,Monmouth,-1,NoMatch,
Cole Grosshans,Miami (Ohio),-1,/swimmer/457043,
Nic Wamsley,Miami (Ohio),-1,,
Ben Chatwin,Miami (Ohio),-1,/swimmer/407760,
Jack Wolfred,Ball State,-1,/swimmer/484870,
Owen Chaye,Ball State,-1,/swimmer/558703,
Duncan McLarty,Ball State,-1,/swimmer/485205,
Porter LeVasseur,Missouri St. (M),-1,/swimmer/403885,
Dominic May,Valparaiso (M),-1,/swimmer/741025,
Riccardo Domenico,Evansville (M),-1,,
Noah Witzki,Missouri St. (M),-1,/swimmer/398972,
Zheng Yang Yeap,SIUC (M),-1,,
Patrick White,Ball State,-1,/swimmer/487013,
Bryce Handshoe,Ball State,-1,/swimmer/623507,
Fitz Miller,Miami (Ohio),-1,,
Arthur Cury,Missouri St. (M),-1,/swimmer/830026,
Drake Manuello,SIUC (M),-1,/swimmer/423711,
Adam Cernek,SIUC (M),-1,/swimmer/508835,
Jonathan Hill,Missouri St. (M),-1,NoMatch,
Landyn Riester,Ball State,-1,/swimmer/574642,
Derek Eidson,Valparaiso (M),-1,/swimmer/374501,
Jacob Krzciok,Miami (Ohio),-1,/swimmer/431289,
Adam Chwieros,Valparaiso (M),-1,/swimmer/487530,
Jacob Powell,Ball State,-1,/swimmer/419489,
Sam Leatherwood,Evansville (M),-1,/swimmer/482423,
Ryan Short,Ball State,-1,/swimmer/400255,
Janson Garman,Evansville (M),-1,/swimmer/492647,
Michael Whitehead,Evansville (M),-1,,
Matt Fetterman,Miami (Ohio),-1,,
Max Ransom,SIUC (M),-1,,
Josh Graves,Evansville (M),-1,NoMatch,
Pawel Krawczyk,Missouri St. (M),-1,/swimmer/895334,
Zeke Metz,Evansville (M),-1,,
Billy Bennett,Valparaiso (M),-1,/swimmer/582421,
Austin Smith,Evansville (M),-1,NoMatch,
Jacob Bailey,Evansville (M),-1,NoMatch,
Tyler Lewis,Missouri St. (M),-1,NoMatch,
Aiden Maurer,Ball State,-1,/swimmer/360264,
Griffin Hammett,Evansville (M),-1,NoMatch,
Bennet Witteveen,Ball State,-1,/swimmer/392880,
Noah Berryman,Ball State,-1,/swimmer/473699,
Aulden Nance,Evansville (M),-1,/swimmer/391671,
Brian Daniels,Valparaiso (M),-1,/swimmer/489975,
Rick Renner,Valparaiso (M),-1,,
David Killian,Evansville (M),-1,/swimmer/386022,
Jacob Sampson,Evansville (M),-1,NoMatch,
Sebastian Odent,Missouri St. (M),-1,/swimmer/820519,
Jacob Halem,Miami (Ohio),-1,/swimmer/323093,
Keenan Burgess,Valparaiso (M),-1,,
Dillon Freiberger,Ball State,-1,/swimmer/484547,
Jack Clouatre,Miami (Ohio),-1,/swimmer/489375,
Sam Flessner,SIUC (M),-1,NoMatch,
James Vaughn,Missouri St. (M),-1,/swimmer/459904,
Ian Marshall,SIUC (M),-1,/swimmer/474729,
Zachary Moody,Ball State,-1,/swimmer/1058808,
Ee Tan,Evansville (M),-1,,
Trystan Lundgren,Miami (Ohio),-1,/swimmer/456949,
Sam Curran,Miami (Ohio),-1,,
Max Dehen,Evansville (M),-1,/swimmer/653481,
Pierce Lively,Evansville (M),-1,/swimmer/321887,
Ryan Sego,Miami (Ohio),-1,/swimmer/392914,
Jacob Berkheimer,Missouri St (W),-1,/swimmer/542901,
Caleb Whittington,Missouri St (W),-1,/swimmer/1397942,
Corbett Wilson,Missouri St (W),-1,/swimmer/1233179,
Jason Allen,Missouri St (W),-1,NoMatch,
Matthew Morris,Missouri St (W),-1,NoMatch,
Kevin Chen,Missouri St (W),-1,NoMatch,
Quinn McCurry,Missouri St (W),-1,/swimmer/1195508,
Connor Stirling,Brigham Young,-1,/swimmer/213795,
Franz Adam,Hawaii,-1,,
Roger Woods,Brigham Young,-1,/swimmer/447414,
Loren Gillilan,CSUB,-1,/swimmer/357333,
Christian Martinez,UCSB,-1,NoMatch,
Antonio Milin,CSUB,-1,/swimmer/541153,
Tim Masten,Hawaii,-1,/swimmer/911688,
Javier Nicolas,Brigham Young,-1,,
Timothy Lee,UCSB,-1,NoMatch,
Josue Dominguez,Brigham Young,-1,/swimmer/893681,
Andrew Davis,Pacific,-1,/swimmer/356493,
Zach Dietz,UCSB,-1,/swimmer/302126,
Ryan Iannaccone,Cal Poly,-1,/swimmer/496380,
Dylan Parente,Pacific,-1,/swimmer/374715,
Frankie Fitzpatrick,Pacific,-1,,
Ben Wolf,UCSB,-1,,
Matthew Hosmer,Pacific,-1,/swimmer/1034901,
Jackson Mason,UCSB,-1,NoMatch,
David Noyes,Pacific,-1,/swimmer/418696,
Cooper Gates,Incarnate Word,-1,/swimmer/602096,
