,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
539870,,,28.40,,,1:02.54,,,2:25.31,,,5:11.12,,,,,,,1:03.44,,,,,2:36.29,1:20.12,,,2:50.93,,,,,1:10.24,2:31.14,,,1:14.47,,,,2:39.17,4:55.26,,,,,38.34,,,43.39,,,79.05,,,90.29,,,,,,,77.85,,,,,72.89,100.00,,,100.00,,,,,57.80,100.00,,,100.00,,,,66.11,66.15,,
417267,,,28.86,,,1:03.15,1:59.04,,,,,4:46.00,,,9:50.71,19:58.16,,,1:09.26,,,2:17.34,,,1:07.14,,,2:24.49,,,1:00.70,,,2:22.52,,,1:02.88,,2:09.86,,,4:34.69,,,,,45.12,,,47.60,47.13,,,,,48.04,,,47.48,93.48,,,100.00,,,77.52,,,41.61,,,39.04,,,57.16,,,86.51,,,59.51,,38.58,,,33.99,,
484289,25.37,,,54.84,,,1:56.68,,,5:10.77,,,10:50.77,,,18:12.27,,,1:09.59,,,,,,1:13.24,,,,,,1:07.19,,,,,,,,2:19.44,,,,,,49.64,,,45.30,,,38.61,,,37.09,,,42.29,,,44.65,,,100.00,,,,,,81.89,,,,,,100.00,,,,,,,,67.45,,,,,
1142827,,,28.59,52.89,,,2:04.04,,,5:40.64,,,,,,,,,58.86,,,2:08.57,,,1:23.42,,,3:01.60,,,1:03.84,,,2:38.18,,,1:20.02,,2:18.50,,,5:01.67,,,,,41.11,30.45,,,66.33,,,82.95,,,,,,,,,42.25,,,45.82,,,100.00,,,100.00,,,82.67,,,100.00,,,100.00,,67.90,,,77.15,,
528032,25.81,,,57.54,,,2:08.78,,,,,,,,,,,,1:12.67,,,,,,1:25.88,,,,,,1:04.58,,,2:34.51,,,,,2:35.88,,,5:49.83,,,57.51,,,67.68,,,86.02,,,,,,,,,,,,100.00,,,,,,100.00,,,,,,89.06,,,100.00,,,,,100.00,,,100.00,,
1282756,,,29.98,,,1:02.67,2:01.81,,,5:24.35,,,,,,,,,1:02.17,,,2:20.68,,,1:07.05,,,2:23.31,,,58.60,,,,,2:34.48,1:04.06,,2:11.21,,,,,5:23.05,,,62.56,,,44.28,57.57,,,58.07,,,,,,,,,67.44,,,90.72,,,41.04,,,35.68,,,41.50,,,,,60.96,68.60,,42.91,,,,,45.92
358733,,,29.78,56.13,,,1:59.52,,,5:18.92,,,11:32.17,,,,,19:59.67,1:03.60,,,2:30.83,,,1:12.98,,,2:54.17,,,,,,,,,,,2:19.60,,,,,,,,59.34,55.72,,,48.91,,,50.31,,,73.58,,,,,77.41,79.19,,,100.00,,,81.58,,,100.00,,,,,,,,,,,71.91,,,,,
1275537,27.00,,,56.46,,,1:59.08,,,5:12.93,,,11:07.73,,,19:07.52,,,1:04.11,,,2:16.42,,,,,1:46.48,,,,1:03.04,,,,,,1:11.16,,2:22.53,,,4:59.06,,,80.17,,,58.47,,,47.28,,,42.06,,,55.94,,,70.10,,,83.51,,,74.00,,,,,100.00,,,,75.92,,,,,,100.00,,82.90,,,72.61,,
503515,,,29.27,,,,,,2:13.32,,,4:41.56,,,,,,19:18.80,,,,,,,,,,,,,,,1:10.47,,,2:27.39,,,,,,,,,,,51.35,,,,,,38.51,,,41.30,,,,,,59.99,,,,,,,,,,,,,,,59.35,,,39.93,,,,,,,,
652974,,,29.72,57.68,,,2:06.00,,,5:40.97,,,,,,,,,59.76,,,2:08.52,,,,,,,,,1:01.01,,,,,,,,2:23.99,,,,,,,,58.39,68.90,,,74.29,,,83.48,,,,,,,,,48.82,,,45.65,,,,,,,,,59.56,,,,,,,,88.55,,,,,
