Name,School,Power,Link,Hometown
Kyle Douglas,Fla Atlantic (M),-1.0,,
Bryan Dunne,Gardner-Webb,40.87,/swimmer/524883,"Savannah, GA"
Cullen Fields,Gardner-Webb,15.65,/swimmer/271818,"Marietta, GA"
Garrett Stanley,Fla Atlantic (M),-1.0,,
Ben Stiles,Incarnate Word,-1.0,,
Kyle Halstead,Incarnate Word,-1.0,,
Eli Meyer,Incarnate Word,27.65,/swimmer/616789,"Corrales, NM"
Ben Redman,Wis.- Green Bay,13.06,/swimmer/334837,"Eau Claire, WI"
Christian Bart,Oakland,7.63,/swimmer/400083,"Grand Rapids, MI"
Mack Flowers,Oakland,-1.0,,
Kevin Burke,IU Indianapolis,19.22,/swimmer/457047,"Bettendorf, IA"
Jeff Wiedoff,Illinois-Chicago,-1.0,,
Javi Quinones,Oakland,-1.0,,
Marko Khotynetskyi,Oakland,10.67,/swimmer/933315,"Kyiv, UKR"
Ryan Geheb,Oakland,3.54,/swimmer/272943,"Hartland, MI"
Wes Wickens,IU Indianapolis,-1.0,,
Wilson Cannon,Youngstown St,28.58,/swimmer/482566,"Mansfield, OH"
John Ruan,Milwaukee,25.38,/swimmer/399622,"Bolingbrook, IL"
Jack Krusinski,Cleveland St,18.57,/swimmer/546248,"Brecksville , OH"
Conrad Farrell,Milwaukee,17.44,/swimmer/417180,"Waukesha, WI"
Bob Lenart,Cleveland St,-1.0,,
Cameron Green,IU Indianapolis,-1.0,,
Didac Silva Alcoba,Wis.- Green Bay,100.0,/swimmer/1281096,"Amposta, ESP"
Sam Smith,Oakland,23.81,/swimmer/403420,"Holland, MI"
Andrew Evans,Oakland,20.07,/swimmer/482597,"Fremont, OH"
Nathen Eberhardt,Cleveland St,-1.0,,
Jeremiah Mansavage,Wis.- Green Bay,-1.0,,
Brandon Cheong,Youngstown St,32.94,/swimmer/510603,"Noord, ABW"
Jonathan Kollen,Milwaukee,18.66,/swimmer/461419,"Zeeland, MI"
Quinn Yeager,Milwaukee,22.56,/swimmer/403550,"Minnetonka, MN"
Josh Dellorto,Illinois-Chicago,-1.0,,
Tim Kubacki,Cleveland St,-1.0,,
Eric Wesolowski,Wis.- Green Bay,45.24,/swimmer/481856,"Grand Rapids, MI"
Geffen Chang,Oakland,25.31,/swimmer/652793,"San Jose, CA"
Owen Zant,Illinois-Chicago,33.15,/swimmer/456994,"Aurora, IL"
Jack Garcia,Milwaukee,28.74,/swimmer/408657,"Hazelhurst, WI"
Ryan Scherer,Youngstown St,42.92,/swimmer/482606,"Wauseon, OH"
Jackson Shellogg,Youngstown St,-1.0,,
Ben Davis,Oakland,-1.0,,
Dominik Niedzialek,Cleveland St,100.0,/swimmer/615585,"Lublin, POL"
Danylo Hrebelnyi,Oakland,-1.0,,
Kyle Lewarchick,Illinois-Chicago,19.89,/swimmer/487006,"St. Charles, IL"
Jacob Weber,Milwaukee,40.0,/swimmer/484774,"St Leon, IN"
Carson Niemiec,Milwaukee,32.61,/swimmer/401131,"Oconomowoc, WI"
Dillon Stangeland,IU Indianapolis,27.43,/swimmer/489007,"West Fargo, ND"
Philip DeJonge,Oakland,24.85,/swimmer/400449,"Zeeland, MI"
Riley Lohse,IU Indianapolis,21.52,/swimmer/403912,"Sycamore, IL"
Mason Schoof,Milwaukee,15.67,/swimmer/506461,"Muskego, WI"
Andrew Bernsdorf,Oakland,7.8,/swimmer/412568,"Westerville, OH"
Max Boehnlein,Wis.- Green Bay,-1.0,,
Nick Dibley,IU Indianapolis,-1.0,,
Jordan Sopjes,Wis.- Green Bay,26.19,/swimmer/460820,"Dorr, MI"
Ben Rojewski,Oakland,-1.0,,
Will Barton,Oakland,-1.0,,
Ryan Ramminger,Wis.- Green Bay,21.43,/swimmer/334834,"Lodi, WI"
Dan Galante,IU Indianapolis,-1.0,,
Ian Allen,Oakland,18.07,/swimmer/463176,"Commerce Township, MI"
Ben Gabbey,Illinois-Chicago,-1.0,,
Daniel Jablonski,Milwaukee,33.73,/swimmer/701079,"Green Bay, WI"
Umitcan Gures,Harvard,-1.0,,
Joe Page,Yale,100.0,/swimmer/1065646,"Athens, IL"
Ryan Linnihan,Harvard,10.8,/swimmer/401079,"Brookfield, WI"
Matthew Dieffenthaller,Penn,15.75,/swimmer/375776,"Tampa, FL"
Max Walther,Princeton,-1.0,,
Connor Lee,Yale,5.53,/swimmer/377226,"South Pasadena, CA"
Nicholas Lim,Princeton,7.29,/swimmer/544617,"Hong Kong, NJ"
Nathan Stern,Yale,8.77,/swimmer/433464,"Hightstown, NJ"
Thomas Shepanzyk,Columbia,16.61,/swimmer/478412,"Berkeley Heights, NJ"
Jonathan Pollock,Princeton,7.24,/swimmer/357024,"fairfax, VA"
Jeremy Marcin,Cornell,18.56,/swimmer/376729,"Thousand Oaks, CA"
Greg Kalin,Yale,9.49,/swimmer/482501,"Cincinnati, OH"
Connor Lamastra,Dartmouth,8.07,/swimmer/382292,"Atlanta, GA"
Tim Park,Dartmouth,-1.0,,
Marcus Holmquist,Harvard,6.35,/swimmer/670197,"Bankeryd, SWE"
Tim Cushman,Dartmouth,-1.0,,
Pierce Dietze,Harvard,8.62,/swimmer/433230,"San Diego, CA"
Ray Yang,Columbia,13.29,/swimmer/640888,"Etobicoke, ON"
Raunak Khosla,Princeton,1.48,/swimmer/449644,"Atlanta, GA"
Daniel Kim,Harvard,4.86,/swimmer/357424,"Ladera Ranch, CA"
Paige Dacosta,Cornell,-1.0,,
Connor Bishop,Dartmouth,24.59,/swimmer/482580,"Ottawa Hills, OH"
Keegan Drew,Columbia,21.01,/swimmer/460518,"Harrison, NY"
Jack Casey,Cornell,15.05,/swimmer/399878,"Smithtown, NY"
Michael Chang,Columbia,-1.0,,
Evan Schott,Yale,-1.0,,
Cameron Matthews,Princeton,18.61,/swimmer/791180,UAE
Dylan Porges Avila,Princeton,-1.0,,
Ryan Brown,Cornell,8.06,/swimmer/291407,"Garden City, NY"
Cole Kuster,Harvard,6.18,/swimmer/495492,"Williamstown, MA"
Ethan Banks,Dartmouth,15.68,/swimmer/383448,"Pepper Pike, OH"
Joshua Kim,Princeton,-1.0,,
Tobin Hickman-Chow,Yale,-1.0,,
Miguel Jacome,Princeton,-1.0,,
John Ehling,Princeton,20.72,/swimmer/547190,"Wexford, PA"
Gunner Grant,Harvard,-1.0,,
Joe Moll,Dartmouth,-1.0,,
Tyler Lu,Brown,-1.0,,
Mark McCrary,Penn,12.99,/swimmer/417824,"Pasadena, CA"
Lukas Scheidl,Brown,12.08,/swimmer/169410,"Mendham, NJ"
Peyton Werner,Princeton,7.14,/swimmer/540169,"Bettendorf, IA"
Vincent Huang,Brown,12.31,/swimmer/454314,"League City, TX"
Noah Brune,Harvard,3.51,/swimmer/496872,"Mission Viejo, CA"
Chris Aubin,Princeton,-1.0,,
Chris Kostelni,Cornell,-1.0,,
Simon Lamar,Harvard,1.64,/swimmer/412006,"Sonora, CA"
Liam Bogart,Yale,10.14,/swimmer/452384,"Scarborough, NY"
Ben Hayes,Brown,-1.0,,
Jami Rzepecki,Yale,-1.0,,
Jason Schreiber,Penn,8.69,/swimmer/376616,"Irvine, CA"
Jared Simpson,Harvard,9.2,/swimmer/392983,"Naperville, IL"
Reid Arwood,Brown,11.95,/swimmer/473853,"Asheville, NC"
Colin Mackellar,Brown,24.09,/swimmer/490923,"Southbury, CT"
Jack O'Connor,Yale,-1.0,,
Neil Simpson,Penn,14.59,/swimmer/545017,"Beaconsfield, QC"
Jacob Bass,Cornell,12.35,/swimmer/459299,"Kingwood, TX"
Calvin Yang,Yale,4.84,/swimmer/348314,"Belmont, MA"
Ike Shirakata,Columbia,-1.0,,
David Abrahams,Harvard,10.82,/swimmer/463377,"Havertown, PA"
Alex Petty,Harvard,-1.0,,
Jack Valiquette,Cornell,14.41,/swimmer/475237,"Charlotte, NC"
Marcos Ortiz,Yale,100.0,/swimmer/572295,"Rome, NY"
Alec Kong,Dartmouth,40.8,/swimmer/693991,"Moraga, CA"
Ahmed Sallam,Marist,100.0,/swimmer/1189425,"Cairo, EGY"
Blake Reynolds,Monmouth,18.41,/swimmer/463633,"Grayson, GA"
Ethan McCormac,Marist,22.36,/swimmer/597145,"East Hampton, NY"
Aidan Holbrook,Iona Coll,21.01,/swimmer/344489,"Prairie Village, KS"
Joseph Gewartowski,Rider,-1.0,,
Conor Mullin,Iona Coll,22.32,/swimmer/329412,"New York, NY"
Jack Ruggieri,Rider,20.07,/swimmer/395296,"Gloucester, NJ"
Evan Fair,Fairfield,22.68,/swimmer/675746,"Centurion, RSA"
Thomas From,Monmouth,-1.0,,
Alex Hiltbrand,Canisius,-1.0,,
Mike Maurer,Canisius,-1.0,,
Kyle Kimerer,Canisius,17.85,/swimmer/399308,"Youngstown, OH"
Matthew Lequang,Rider,-1.0,,
Peter Gori,Fairfield,26.74,/swimmer/522316,"Southampton, PA"
Liam O'Connell,Canisius,-1.0,,
Dylan Barkhuizen,Monmouth,24.9,/swimmer/462876,"Pretoria, RSA"
Daniel Hadary,Iona Coll,24.69,/swimmer/397215,"Oakland Gardens, NY"
Thomas Willemse,Fairfield,28.95,/swimmer/456993,"Hinsdale, IL"
Adam Sokolowski,Canisius,36.13,/swimmer/396696,"Webster, NY"
Tyler Prosser,Niagara,35.33,/swimmer/471685,"Fairport, NY"
Emil Bajramovic,Iona Coll,33.17,/swimmer/495171,"Oakland gardens, NY"
Jalen Ramjohn,Iona Coll,20.67,/swimmer/383115,"Bronx, NY"
David Son,Iona Coll,-1.0,,
Callan Smith,Monmouth,17.95,/swimmer/638697,"Hillarys, AUS"
Jake Demartino,Iona Coll,32.87,/swimmer/494662,"Tolland, CT"
Connor Way,Canisius,33.21,/swimmer/395083,"Watertown, NY"
Will Robinson,Fairfield,-1.0,,
Brendan Vieira,Saint Peter's,41.32,/swimmer/704889,"Stewartville, NJ"
Mauro Pacsi,Iona Coll,33.44,/swimmer/397708,"Yonkers, NY"
Jack Moran,Iona Coll,-1.0,,
Luke McDonald,Monmouth,48.02,/swimmer/612972,"Brielle, NJ"
Jr Leitz,Monmouth,-1.0,,
Dalton Stier,Niagara,24.98,/swimmer/424200,"Wesley Chapel, NC"
Chris Ford,Fairfield,37.86,/swimmer/490874,"Middlebury, CT"
Jackson Madonia,Iona Coll,22.9,/swimmer/344703,"Waunakee, WI"
Brody Biebel,Fairfield,33.63,/swimmer/489318,"Huntington, CT"
Grant Edwards,Iona Coll,34.87,/swimmer/453678,"South Salem, NY"
Aj Yost,Canisius,-1.0,,
Mason Adams,Canisius,59.49,/swimmer/396198,"East Aurora, NY"
Jordan Chatelle,Canisius,45.83,/swimmer/396278,"Amherst, NY"
branden deiss,Manhattan,22.98,/swimmer/757452,RSA
Louis Quinn,Manhattan,-1.0,,
Matthew Torres,Fairfield,63.27,/swimmer/510192,"Ansonia, CT"
Lucas Racevicius,Rider,26.31,/swimmer/616546,"Watertown, CT"
Spencer Moran,Iona Coll,21.79,/swimmer/405615,"Oxford, CT"
Austin Twiss,Fairfield,33.91,/swimmer/490991,"Westport, CT"
