Name,School,Power,Link,Hometown
Evan Bell,Augustana (M),-1.0,,
Jon Kantzenbach,Grand Valley,5.23,/swimmer/1161530,"Wiesbaden, GER"
Jackson Dircks,Augustana (M),40.2,/swimmer/892642,"Freeburg, IL"
Nate Schluckebier,Saginaw Valley,-1.0,,
Zack Dollman,Saginaw Valley,39.71,/swimmer/1057592,"Rantoul, IL"
Steven Asmus,Augustana (M),34.46,/swimmer/1366038,"Hudson, WI"
Brandon Petryszyn,Davenport,46.82,/swimmer/1454797,"Inver Grove Heights, MN"
Bobby Garland,St. Cloud St.-M,-1.0,,
Brady Monson,Augustana (M),32.5,/swimmer/551548,"The Woodlands, TX"
Patrick Andrews,NMU,28.16,/swimmer/530429,"Springfield, VA"
Sibi Raj,Saginaw Valley,45.74,/swimmer/486599,"Farmington Hills, MI"
Joey Dombkowski,Wayne State,-1.0,,
Lucas Harding,Wayne State,64.0,/swimmer/485953,"Chelsea, MI"
Owen Stender,Davenport,33.79,/swimmer/805671,"Otsego, MI"
Aeson Akins,Augustana (M),45.38,/swimmer/1135781,"Glenwood Springs, CO"
Aidan McCusker,Augustana (M),-1.0,,
Owen Teague,St. Cloud St.-M,19.77,/swimmer/666742,"Lakeville, MN"
Lui Pinto,Augustana (M),-1.0,,
Jacob Andreasen,St. Cloud St.-M,40.2,/swimmer/1150337,"Moorhead, MN"
Mason Kauffeld,Augustana (M),27.64,/swimmer/1093649,"Washington, MO"
Will Herwig,Grand Valley,-1.0,,
Joseph Kibbon,St. Cloud St.-M,-1.0,,
Arthur Marques,Saginaw Valley,48.03,/swimmer/984243,"São Paulo, BRA"
Matteo Capotosti,Saginaw Valley,36.58,/swimmer/1383473,"Prince Frederick, MD"
Ben Wainman,Saginaw Valley,-1.0,,
Jack Johnson,Augustana (M),-1.0,,
Daniel Aponte,NMU,-1.0,,
Andrew Iverson,St. Cloud St.-M,-1.0,,
Arthur Souza,McKendree,15.0,/swimmer/1336754,"Belo Horizonte, MG"
Kyle Sinclair,Indy,-1.0,,
Austin Kehr,Indy,14.36,/swimmer/1439337,"Brownsburg, IN"
Alireza Yavari,McKendree,11.5,/swimmer/1152746,"Isfahan, IRI"
Bartlomiej Swiderski,Indy,-1.0,,
Gabriel Bynoe,Indy,-1.0,,
Leonardo Gandaria-Hernandez,McKendree,-1.0,,
Ethan Boehle,UMSL,35.29,/swimmer/1285607,"Parker, CO"
Gavin Bergmann,Truman St.,34.88,/swimmer/572818,"Carthage, IL"
Miles McIntyre,Truman St.,-1.0,,
Ryan Conner,UMSL,-1.0,,
Vaughn Sloan,Jewell,40.47,/swimmer/689728,"Kearney, MO"
Patryk Rozenek,McKendree,8.84,/swimmer/1329738,"Radlin, POL"
Pablo Marin,Indy,29.08,/swimmer/1358609,"Alpharetta, GA"
Max Ewigman,Jewell,50.86,/swimmer/462420,"Belton, MO"
Owen Brubaker,McKendree,35.29,/swimmer/783504,"Gainesville, GA"
Colin Fitzgerald,Maryville,61.78,/swimmer/1176967,"Saint Louis, MO"
Elliot Labeau,UMSL,30.42,/swimmer/511054,"North Little Rock, AR"
Andile BEKKER,Indy,-1.0,,
Josiah Keen,Drury,-1.0,,
Eric Hart,Jewell,25.98,/swimmer/973075,"Littleton, CO"
Ian Wiley,Jewell,39.22,/swimmer/670193,"Olathe, KS"
Kevin Soltys,Lewis,41.32,/swimmer/2368050,"Mount Prospect, IL"
Josh Cudney,Maryville,-1.0,,
Joshua Moellenhoff,Lewis,52.52,/swimmer/663646,"Ellisville, MO"
Miguel Turcios,Lewis,27.82,/swimmer/1138185,"Romeoville, IL"
Mason Stimson,UMSL,30.15,/swimmer/507447,"Menomonee Falls, WI"
Jacob Morelli,Maryville,-1.0,,
Davi Mourao,Drury,-1.0,,
Cedric Buessing,Indy,-1.0,,
Bennett Balogh,Indy,23.88,/swimmer/1233856,"Okauchee, WI"
A.J. Padilla,Indy,-1.0,,
Gavin Moak,Drury,17.12,/swimmer/354305,"Austin, TX"
Tristan Dawson,Missouri S & T,37.32,/swimmer/901039,"Brainerd, MN"
Greg Dreisewerd,Missouri S & T,-1.0,,
Nkosi Dunwoody,Indy,-1.0,,
Ben Gabbey,Drury,-1.0,,
Ethan Hanson,McKendree,-1.0,,
Sam Reiger,Indy,-1.0,,
Anthony Attenborough,Staten Island,28.63,/swimmer/584881,"Staten Island, NY"
David Poggioli,Staten Island,44.42,/swimmer/1174792,"Staten Island, NY"
Max Kleyer,Staten Island,-1.0,,
Ronald Pasieka,Roberts Wesleyan,100.0,/swimmer/1415258,"Lancaster, NY"
Robert Bodien,Roberts Wesleyan,85.75,/swimmer/570579,"Ballston Spa, NY"
Charles Cusumano,Staten Island,47.07,/swimmer/1211929,"Staten Island, NY"
Tate Sloan,Henderson St.,12.74,/swimmer/941820,"schertz, TX"
Alex Schulze,Ouachita,-1.0,,
Reese Graham,Henderson St.,-1.0,,
Miles Schulze,Ouachita,18.39,/swimmer/779850,"Prosper, TX"
Niklas Heelein,UTPB,-1.0,,
Leo Eleftherakis,UTPB,-1.0,,
Legend Jankowski,UTPB,23.72,/swimmer/1228723,"Midland, TX"
Tristan Richert,Ouachita,21.24,/swimmer/1233303,"Magnolia, TX"
Dan Bednarski,UTPB,-1.0,,
Elijah Christenson,Ouachita,24.38,/swimmer/598929,"St. Michael, MN"
Jax Stevens,Ouachita,-1.0,,
Cade Rivers,Henderson St.,100.0,/swimmer/2937083,"Nacogdoches, TX"
Ricky Gutierrez,UTPB,-1.0,,
Jakob Brougham,Delta State,17.97,/swimmer/537812,"St Augustine, FL"
Bennett Bibza,Ouachita,30.79,/swimmer/1403797,"Southlake, TX"
Parker Nelson,Ouachita,53.08,/swimmer/1351242,"Alexander, AR"
Cooper Womack,Delta State,30.56,/swimmer/507811,"Prattville, AL"
Angel Medina,Ouachita,-1.0,,
Jacob Lewis,Ouachita,33.5,/swimmer/779394,"Mansfield, TX"
Jevonn Cobin,Henderson St.,71.85,/swimmer/452371,"Fort Smith, AR"
Hayden Jestes,Ouachita,20.28,/swimmer/779753,"Prosper, TX"
Gabriel Vidal Simoes,Henderson St.,-1.0,,
Barrett Troup,Ouachita,32.42,/swimmer/376235,"Cammack Village, AR"
Hunter Bullis,Henderson St.,34.26,/swimmer/1402712,"Slidell, LA"
Jj Henriques,Saint Rose,-1.0,,
Franklin Kuhn,Southern Conn,42.68,/swimmer/2201992,"Tolland, CT"
Thomas Kane,St. Michael's,28.74,/swimmer/1383326,"Sparta, NJ"
Cooper Rivers,Adelphi,23.28,/swimmer/376818,"Lake Elsinore, CA"
Will Englehardt,St. Michael's,-1.0,,
Aldemar Alikavazovic,Saint Rose,41.62,/swimmer/508467,"Sarajevo, BIH"
Andrew Matjucha,Bentley,31.31,/swimmer/1155419,"Randolph, NJ"
Peter Epp,Bentley,55.28,/swimmer/465609,"Port Washington, NY"
Sergio Torres,Bentley,-1.0,,
Tyler Marzano,Bentley,39.92,/swimmer/1167303,"Hillsdale, NJ"
Henry Velazquez,Southern Conn,27.69,/swimmer/616486,"Norwalk, CT"
Mcallistar Milne,Southern Conn,18.72,/swimmer/412426,"Glastonbury, CT"
Tyler Besnoff,Pace,-1.0,,
Aaron Bouchard,St. Michael's,73.74,/swimmer/882676,"Plattsburgh, NY"
Kenneth Ryu,Bentley,-1.0,,
Chaz Johnson,Pace,50.23,/swimmer/521901,"Brooklyn, NY"
Kobe Dominguez,Southern Conn,44.04,/swimmer/941377,"West Hartford, CT"
Andrew Marcus,Bentley,57.98,/swimmer/1179145,"Dresher, PA"
Casey Fonseca,Adelphi,61.24,/swimmer/1309374,"Deer Park, NY"
Jake Eastman,Bentley,45.96,/swimmer/656949,"Bolton, MA"
Brandon Ciralli,Pace,-1.0,,
Xander Hughes,Pace,-1.0,,
Timothy Yeung,Adelphi,37.26,/swimmer/1309005,"New Hyde Park, NY"
Frank Genna,Adelphi,57.69,/swimmer/526601,"Levittown, NY"
Nathan Greene,Saint Rose,100.0,/swimmer/456214,"Oswego, NY"
Connor Skarzynski,Southern Conn,47.06,/swimmer/515142,"West Hartford, CT"
Dylan Prescher,Southern Conn,74.44,/swimmer/2195182,"Ellington, CT"
Chris Staniszewski,Saint Rose,-1.0,,
Javi Ferstler,Pace,-1.0,,
Robert Gehman,Pace,47.22,/swimmer/1407525,"Reinholds, PA"
Krishna Adapa,Pace,65.59,/swimmer/636681,"Grand Cayman, CAY"
Mike Aiello,Southern Conn,-1.0,,
Shane Conroy,Bentley,69.66,/swimmer/704067,"Glastonbury, CT"
Timothy Voelker,St. Michael's,100.0,/swimmer/1425521,"Garden City, NY"
Daniel Mattei,Adelphi,-1.0,,
Will Granger,St. Michael's,-1.0,,
Brendan Hopping,St. Michael's,-1.0,,
Trevor Johnson,St. Michael's,-1.0,,
Patrick Tarka,Bentley,73.75,/swimmer/1749438,"Watchung, NJ"
Collin Doyle,Southern Conn,-1.0,,
Kai West,Bentley,40.51,/swimmer/1400152,"Kailua, HI"
Joseph Malone,Le Moyne,-1.0,,
Aleksa Jovanovic,St. Michael's,58.8,/swimmer/656954,"Weymouth, MA"
Eddy Erofeyev,Bentley,-1.0,,
Joey Twomey,Bentley,-1.0,,
Jan Bialecki,Fresno Pacific,-1.0,,
Ethan Crabb,Biola University,25.93,/swimmer/449430,"Glendale, AZ"
Jack Harris,Concordia Irvine,-1.0,,
Dylan Kormendy,Simon Fraser,25.86,/swimmer/1199176,CAN
Ryan Monrean,Biola University,-1.0,,
Randon Hall,Simon Fraser,28.01,/swimmer/576833,"Beaverton, OR"
Jayden Hernandez,Concordia Irvine,-1.0,,
Monyo MAINA,Simon Fraser,-1.0,,
Joseph Molettieri,Concordia Irvine,-1.0,,
Don Onu,Biola University,-1.0,,
Ethan Trotter,Fresno Pacific,100.0,/swimmer/948317,"Rio Rancho, NM"
Jacob Haaksma,Biola University,19.77,/swimmer/494403,"Grand Rapids, MI"
Hunter May,Concordia Irvine,21.28,/swimmer/375186,"Santa Barbara, CA"
Payt Bouwhuis,Concordia Irvine,-1.0,,
Garrin Hatfield,Concordia Irvine,42.84,/swimmer/580712,"Madera, CA"
Lanis Webb,Concordia Irvine,29.46,/swimmer/844246,"Liberty Lake, WA"
Garrison Veron,Concordia Irvine,37.6,/swimmer/1329223,"Rancho Cucamonga, CA"
Gavin Kelley,Biola University,-1.0,,
Botond Navratil,Fresno Pacific,-1.0,,
Garrett Waite,Mines,-1.0,,
Kuba Kiszczak,Colorado Mesa,-1.0,,
Andrew Scoggin,Colorado Mesa,-1.0,,
Dereck Montgomery,Oklahoma Christi,-1.0,,
Caleb Musser,Oklahoma Christi,15.93,/swimmer/462404,"Overland Park, KS"
Michael Kietzman,Mines,19.1,/swimmer/675374,"Southlake, TX"
Dejan Urbanek,Colorado Mesa,13.19,/swimmer/940870,"Novi Sad, SRB"
Jt Amrein,Oklahoma Christi,-1.0,,
Victor Rosado,Oklahoma Christi,-1.0,,
Austin Patterson,Colorado Mesa,31.75,/swimmer/1194385,"Tomball, TX"
Jack Engler,Mines,23.18,/swimmer/1198602,"Littleton, CO"
Ivan Torres Lopez,UTPB,-1.0,,
Kyle Jardenil,Oklahoma Christi,31.35,/swimmer/551396,"Helotes, TX"
Jacob Rivera,Oklahoma Christi,46.99,/swimmer/858784,"Decatur, TX"
Lorenzo Tabladini,Oklahoma Christi,22.12,/swimmer/1386107,"Pallanuoto, ITA"
George Lutkenhaus,Adams St.,58.16,/swimmer/705700,"Justin, TX"
Josh Jones,Adams St.,-1.0,,
Gavin Gilmore,Mines,26.11,/swimmer/458611,"Castle Rock, CO"
Jaron O'Grady,Mines,-1.0,,
Andres Saa,Mines,24.59,/swimmer/606937,"Katy, TX"
Chauncey Matthews,Adams St.,-1.0,,
Calvin Ssendawula,Adams St.,-1.0,,
Ronan Lauinger,Mines,20.2,/swimmer/1110506,"Alexandria, VA"
John Walgast,Colorado Mesa,-1.0,,
Lucas Viana,Colorado Mesa,26.91,/swimmer/1356375,"Keller, TX"
Aron Jonsson,Colorado Mesa,-1.0,,
Jeremy Koch,Colorado Mesa,27.58,/swimmer/1258312,"OCEAN SPRINGS, MS"
Jacob Troescher,Colorado Mesa,28.91,/swimmer/1368524,"Eagle, ID"
Kimani Gregory,Queens (NC),3.17,/swimmer/403057,"Pittsburgh, PA"
Alex Smyre,Wingate,-1.0,,
Benjamin Hasanovic,Catawba,-1.0,,
Corey Kidd,Emory & Henry,32.57,/swimmer/581400,"Atlanta, GA"
Isaac Haut,Catawba,32.5,/swimmer/1734114,"Lexington, NC"
Asger Hartvig,Carson-Newman,-1.0,,
Noah Sadler,Wingate,20.1,/swimmer/1158121,"kissimmee, FL"
Alonso Castro,Carson-Newman,28.51,/swimmer/1337667,"Lima, PER"
Tyler Schehr,Carson-Newman,27.31,/swimmer/863596,"West Chester, OH"
Ronin Pettit,Mars Hill,46.4,/swimmer/700820,"Cayce, SC"
Martin Racek,Wingate,27.87,/swimmer/1163627,"Zlín, CZE"
Kevin Rusu,Wingate,27.27,/swimmer/1349934,"Halle (Saale), GER"
William Lerna,Wingate,-1.0,,
Cordin Schrum,Lenoir-Rhyne,-1.0,,
Rodrigo Yus Fernandez,Catawba,65.28,/swimmer/1330316,"Cadiz, ESP"
Miguel Marcos,Wingate,-1.0,,
Michele ORRU',Wingate,-1.0,,
Nicholas Rennhack,Carson-Newman,-1.0,,
Christian Balint,Carson-Newman,25.7,/swimmer/551473,"North Richland Hills, TX"
Sean Smith,Catawba,31.13,/swimmer/777758,"Lexington, NC"
Eli Poole,Carson-Newman,28.8,/swimmer/1302564,"Daphne, AL"
Ethan Lawless,Carson-Newman,42.52,/swimmer/645367,"Washington, NC"
Jack Wisniewski,Wingate,100.0,/swimmer/1024913,"Almond, NY"
Jimmy Senese,TAMPA,-1.0,,
Thomas Flower,Nova S'eastern,-1.0,,
Vince Smith,TAMPA,-1.0,,
Brandon Wilson,Florida Southern,22.36,/swimmer/631465,"Baltimore, MD"
Kenan Dean,TAMPA,10.14,/swimmer/1174239,"Indian Trail, NC"
Cal Sandefer,TAMPA,-1.0,,
David Armstrong,Florida Tech,25.96,/swimmer/576164,"Cypress, TX"
Aidan Sims,TAMPA,21.75,/swimmer/665024,"Signal Mountain, TN"
Michael Tucker,Rollins,19.92,/swimmer/607654,"Peachtree City, GA"
Johnny Knobel,TAMPA,-1.0,,
Ben Robertson,Rollins,-1.0,,
Colin Harrison,Florida Tech,47.74,/swimmer/619863,"Wainscott, NY"
George Jekov,Florida Tech,26.33,/swimmer/502037,"Wichita, KS"
Parker Knollman,TAMPA,24.94,/swimmer/566799,"Edgewood, KY"
Slate Sabel,Florida Tech,-1.0,,
Luca Alessandrini,Nova S'eastern,5.66,/swimmer/1327327,"Rome, ITA"
Connor Orth,Florida Tech,20.89,/swimmer/960015,"San Jose, CA"
Colin Goddard,Florida Tech,31.32,/swimmer/1119311,"Bartlesville, OK"
Coleman Kramer,TAMPA,6.59,/swimmer/310301,"Vero Beach, FL"
Gus Pastos,Nova S'eastern,-1.0,,
Davis Carson,Rollins,30.88,/swimmer/1346246,"Apex, NC"
Owen Pogwist,Lynn,40.46,/swimmer/508135,"Seaford, DE"
Andrew Haapala,Rollins,52.05,/swimmer/469122,"Boulder, CO"
Grant Masterson,Rollins,53.82,/swimmer/1271204,"Alpharetta, GA"
Camden Bell,Florida Tech,33.25,/swimmer/568517,"Orlando, FL"
Alex Flanagan,Lynn,100.0,/swimmer/538892,"Skaneateles, NY"
Niko Frese,Florida Southern,-1.0,,
Josh Fountain,Lynn,14.38,/swimmer/322110,"Lilburn, GA"
Tully Njoroge,Rollins,-1.0,,
Matthew Gush,Nova S'eastern,23.43,/swimmer/1150518,"Mount Pleasant, SC"
Tommy Hirsch,Rollins,-1.0,,
Haley Fisackerly,Rollins,48.77,/swimmer/693576,"Ridgeland, MS"
Patrick Lester,Rollins,-1.0,,
Joseph Bozzi,TAMPA,24.8,/swimmer/401756,"Bangor, PA"
Jared Mindek,TAMPA,19.48,/swimmer/1158144,"Warren, OH"
Michael Panariello,Florida Tech,-1.0,,
Connor Kazmi,TAMPA,21.98,/swimmer/516471,"Roswell, GA"
Sean Foster,Florida Tech,-1.0,,
Joe Cirame,Lynn,-1.0,,
Christopher Barker,Rollins,27.21,/swimmer/517925,"Cary, NC"
Dalton Husketh,Rollins,52.71,/swimmer/1333397,"Durham, NC"
Evan Carlson,Barton,33.43,/swimmer/869453,"Cary, NC"
Grayson Daughtry,Emmanuel,23.77,/swimmer/597750,"Richmond, VA"
Aidan Williams,Lees-McRae,58.31,/swimmer/1180037,"Waxhaw, NC"
Mason Beck,St. Cloud St.-M,-1.0,,
Didac Silva Alcoba,St. Cloud St.-M,100.0,/swimmer/1281096,"Amposta, ESP"
Luke Johnson,St. Cloud St.-M,-1.0,,
Dominic May,Lewis,23.86,/swimmer/741025,"Naperville, IL"
Abram Hagedorn,McKendree,21.34,/swimmer/1453107,"Oregon, OH"
Ethan Anderson,Quincy,-1.0,,
Enzo Kihara,Lewis,6.23,/swimmer/652897,"Pompeia, BRA"
Quez Morrison,UMSL,-1.0,,
Corbett Wilson,Quincy,75.8,/swimmer/1233179,"Rogersville, MO"
Caleb Whittington,Truman St.,-1.0,,
Nathan Moore,Drury,23.36,/swimmer/577029,"Star, ID"
Jack Armstrong,Henderson St.,-1.0,,
Cameron Smith,Montevallo,28.82,/swimmer/1386119,"Mandeville, LA"
Ethan Smith,Ouachita,53.83,/swimmer/1229428,"Pearcy, AR"
Ben Johnson,Montevallo,-1.0,,
Ben Johnson,Henderson St.,-1.0,,
Andrew Holmes,Bloomsburg,69.96,/swimmer/698222,"Temecula, CA"
Luke Edmonds,PennWest,35.91,/swimmer/1305146,"Edinboro, PA"
Thanos Diamantidis,IUP,-1.0,,
Mason Peck,Clarion,18.94,/swimmer/503013,"Hilliard, OH"
Kolos Nagy,West Chester,19.49,/swimmer/464808,"Lubbock, TX"
Gerardo Ruiz,PennWest,-1.0,,
Frank Barger,PennWest,-1.0,,
Jacob Sampson,Colorado Mesa,34.88,/swimmer/1495145,"Arvada, CO"
Pharis Musleh,Oklahoma Christi,-1.0,,
Kyle Benjamin,Colorado Mesa,14.21,/swimmer/363795,"Gilbert, AZ"
Santiago Aguilera,TAMPA,12.52,/swimmer/610489,"Cali, COL"
Santi Corredor,TAMPA,-1.0,,
Hayden Curley,TAMPA,1.37,/swimmer/310209,"Orlando, FL"
Melker Olsson,TAMPA,4.11,/swimmer/803318,"Borås, SWE"
Kamil Piotrowicz,Lynn,3.78,/swimmer/927104,"Konstantynów Łódzki, POL"
Huascar Urbina,Chowan,64.83,/swimmer/1339295,VEN
Jiwh Santos,Wheeling,-1.0,,
Wyatt Dickman,NMU,15.52,/swimmer/507396,"Birnamwood, WI"
Mykhailo Semenov,Lewis,-1.0,,
Jax Mahlstadt,UMSL,-1.0,,
Lukasz Gorka,Lewis,-1.0,,
Amadeusz Kielczewski,Lewis,5.29,/swimmer/653961,"Szczecin, POL"
Jordan Yip,Lewis,29.76,/swimmer/928548,MAL
Hayden Jestes,Henderson St.,20.28,/swimmer/779753,"Prosper, TX"
Ethan Brewer,Montevallo,26.4,/swimmer/1495130,"Winter Garden, FL"
Fabrizio Infante,Saint Rose,51.59,/swimmer/1100747,"Valencia, VEN"
Drew Ladner,Southern Conn,20.5,/swimmer/1222244,"Fulshear, TX"
Kaleb Hotaling,Saint Rose,23.08,/swimmer/394762,"Clifton Park, NY"
Niels Callewaert,Pace,-1.0,,
Andrew Hanson,Biola University,22.36,/swimmer/1493624,"Corvallis, OR"
Henry Miller,Clarion,9.65,/swimmer/1014096,"Scottdale, PA"
Andrew Taylor,IUP,-1.0,,
Luke Scoboria,IUP,36.39,/swimmer/414098,"Exeter, PA"
Connor Hunt,Bloomsburg,39.25,/swimmer/2321551,"Glenolden, PA"
Aziz Ghaffari,Colorado Mesa,5.17,/swimmer/672165,TUN
Nathan Berry,Emory & Henry,-1.0,,
Ian Cooper,TAMPA,-1.0,,
Blake Moran,TAMPA,-1.0,,
Marcel Snitko,Nova S'eastern,24.68,/swimmer/634787,GER
Adrian Aguilar,TAMPA,12.23,/swimmer/376063,"Miami, FL"
David Szlobodnyik,Barry U,-1.0,,
Paul Southern,Barry U,37.55,/swimmer/616772,"Virginia Beach, VA"
Conor Dunne,Lynn,26.77,/swimmer/487726,"Hinsdale, IL"
Quinn Crouse,Florida Southern,-1.0,,
Lincoln Greseth,Lynn,51.46,/swimmer/462158,"Louisville, KY"
Keith Peristeridis,Nova S'eastern,-1.0,,
Richard Polasek,TAMPA,23.92,/swimmer/1162287,"Karlovy Vary, CZE"
Zachary Kopel,Florida Tech,16.6,/swimmer/1337224,"Tampa, FL"
Cameron Taddonio,TAMPA,-1.0,,
Isaac Swanson,Penn St. Altoona,-1.0,,
Jake Schmidt,Behrend,-1.0,,
Justin Heller,Behrend,61.09,/swimmer/576574,"Franklin, PA"
Westin Perry,Alfred State,54.92,/swimmer/1505110,"Hartsville, NY"
Jake Eshelman,Behrend,-1.0,,
Stuart Yates,Alfred State,100.0,/swimmer/471692,"Naples, NY"
Matt Karenbauer,Behrend,-1.0,,
Bryce Bauer,Penn St. Altoona,100.0,/swimmer/969124,"Tyrone, PA"
Thad Johnson,Behrend,88.97,/swimmer/817832,"Ridgway, PA"
Gibson Hoce,Behrend,-1.0,,
Noah Conner,Behrend,100.0,/swimmer/1007795,"Erie, PA"
Connor Weiss,Pitt-Bradford,-1.0,,
Charles Holmes,Loras,100.0,/swimmer/582023,"Chicago, IL"
Zach Nelson,Loras,-1.0,,
Christopher Grunke,Loras,100.0,/swimmer/864844,"Omaha, NE"
Anri Cifuentes-Robinson,St. Mary's MD,-1.0,,
Jack Kennedy,St. Mary's MD,100.0,/swimmer/802304,"Roxbury, CT"
Dez Vereen,Marymount,-1.0,,
Nicholas Hohrman,Gallaudet,-1.0,,
William Lorenzo,Immaculata,100.0,/swimmer/1189512,"Wilmington, DE"
Seb Ludwig,St. Mary's MD,-1.0,,
Jason Lee,Marywood,100.0,/swimmer/1428720,"Enfield, CT"
Daniel Shannon,Marywood,100.0,/swimmer/706129,"Tunkhannock, PA"
Matthew Hopkins,F&M,100.0,/swimmer/534690,"Haines City, FL"
Ryan Carkhuff,Ursinus,22.82,/swimmer/395561,"Chester, NJ"
Dan Mueser,Ursinus,-1.0,,
Ben Freeman,Swarthmore,-1.0,,
Zach Evans,Gettysburg,-1.0,,
John Grey Crosby,Swarthmore,-1.0,,
Sam Taffet,Ursinus,-1.0,,
Jacob Nelson,F&M,-1.0,,
Joseph Bozzi,Washington,24.8,/swimmer/401756,"Bangor, PA"
Nicholas Cox,Gettysburg,-1.0,,
Jack Alperstein,McDaniel,100.0,/swimmer/1194499,"Arnold, MD"
Gage Mandrell,Washington,38.51,/swimmer/655786,"Lancaster, PA"
Reid Schattgen,Dickinson,43.25,/swimmer/647356,"Fredericksburg VA, VA"
Jonathan Odim,Swarthmore,76.26,/swimmer/705148,"Sterling, VA"
Max Valeriano,Ursinus,-1.0,,
Patrick Dunn,Dickinson,100.0,/swimmer/1194534,"Pottstown, PA"
Sunil Surprenant,Dickinson,71.83,/swimmer/1210024,"Silver Spring, MD"
Avery Coonin,Dickinson,100.0,/swimmer/582621,"Memphis, TN"
Ryan Schreffler,Ursinus,39.84,/swimmer/489063,"Pottsville, PA"
Zach Askounes,McDaniel,54.19,/swimmer/389316,"Ijamsville, MD"
Liam White,Ursinus,30.63,/swimmer/477460,"Yardley, PA"
Willem Stoll,F&M,26.12,/swimmer/1466363,"South Salem, NY"
Logan Cort,Dickinson,25.27,/swimmer/422493,"Brookeville, MD"
Andrew Canjura,F&M,45.62,/swimmer/394718,"Saratoga Spgs, NY"
Alex Hatzikos,Swarthmore,-1.0,,
Cam Mehta,F&M,-1.0,,
Gary Danilyan,Baruch,100.0,/swimmer/465438,"Brooklyn, NY"
Christian Hoyek,Brooklyn,100.0,/swimmer/471331,"Brooklyn, NY"
Fernando Lopez Marroquin,Baruch,-1.0,,
Christopher Ramirez,Lehman,100.0,/swimmer/1196909,"Brooklyn, NY"
Alejandro Carrillo,Lehman,100.0,/swimmer/1196906,"Bronx, NY"
Abdul Bari Khan,Baruch,93.89,/swimmer/1178744,"Jackson Heights, NY"
Ronaldo Barrios,Brooklyn,100.0,/swimmer/1716105,"Brooklyn, NY"
Kevin Chen,Baruch,100.0,/swimmer/364359,"New York, NY"
Mitchell Mages,Carthage,15.67,/swimmer/415971,"Skokie, IL"
Adam Moskus,Carthage,20.63,/swimmer/428731,"Ann Arbor, MI"
David Vowels,Carthage,18.63,/swimmer/417152,"Oconomowoc , WI"
Adam Smith,Augustana,35.31,/swimmer/399725,"Palatine, IL"
Jacob Lippiatt,Wheaton IL,35.88,/swimmer/457027,"Monona, WI"
Ben Griffith,Wheaton IL,-1.0,,
Kael Gannon,Wheaton IL,39.51,/swimmer/483729,"Delaware, OH"
Jack Blumenfeld,Augustana,46.97,/swimmer/487204,"Arlington Heights, IL"
Aidan McConkey,Augustana,51.33,/swimmer/369617,"Orlando, FL"
Garrett Shuldes,Carthage,32.7,/swimmer/1194279,"Willmar, MN"
Shannon Pinto,IWU,61.71,/swimmer/487045,"Normal, IL"
Ryan Hart,Carthage,96.94,/swimmer/1192552,"Racine, WI"
Dawson Bremner,Wheaton IL,43.05,/swimmer/749354,"Cedar Falls, IA"
Ethan Kile,Wheaton IL,22.89,/swimmer/391916,"Greenfield, IN"
Matt Janovsky,Carthage,-1.0,,
Lucas Rognrud,Carthage,71.53,/swimmer/587801,"Shakopee, MN"
Abe Plimpton,Wheaton IL,-1.0,,
Kentarrius Braxton,Carroll,71.32,/swimmer/582708,"Memphis, TN"
Jackson Rapala,IWU,68.73,/swimmer/975023,"Roselle, IL"
Matija Simic,Carthage,93.0,/swimmer/2447316,"Lisle, IL"
Omar Ayad,Millikin,92.41,/swimmer/684448,"Carbondale, IL"
Jack Racanelli,Carthage,-1.0,,
Jack Piccoli,Carthage,58.78,/swimmer/582982,"Downers Grove, IL"
Travis Ford,Wheaton IL,-1.0,,
Ben Laurich,North Central,99.95,/swimmer/582916,"Downers Grove, IL"
Chris Fabian,Carroll,100.0,/swimmer/1194396,"Frankfort, IL"
Harrison Smith,Wheaton IL,-1.0,,
Isaiah Valentine,Augustana,34.67,/swimmer/455149,"Cincinnati, OH"
Spencer Bury,Carthage,74.71,/swimmer/886009,"Saint Paul, MN"
Mason McCauley,IWU,-1.0,,
Alex Murphree,Wheaton IL,-1.0,,
Gavin Patton,Wheaton IL,38.47,/swimmer/422527,"Springfield, IL"
Jacob Simonek,Carthage,41.4,/swimmer/508345,"Orland Park, IL"
Tom Griffin,Nazareth,-1.0,,
Sean Payrot,Nazareth,47.05,/swimmer/456217,"Cicero, NY"
Ryan Brown,Alfred,52.27,/swimmer/615520,"ALLEGANY, NY"
Reid Sinkinson,Hartwick,49.61,/swimmer/481738,"Telford, PA"
Dawson Tupponce,Hartwick,30.73,/swimmer/445149,"Phoenix, AZ"
Matthew Kovaleski,Nazareth,-1.0,,
Andrew Yates,Alfred,100.0,/swimmer/592119,"Naples, NY"
Justin Jarmer,Alfred,70.96,/swimmer/375438,"Flagstaff, AZ"
Jackson Sorbello,Utica,57.99,/swimmer/1722142,"Rome, NY"
James Lukasik,Hartwick,92.42,/swimmer/490922,"Danbury, CT"
Gregory Simonian,Alfred,-1.0,,
Marco Salvatore,Nazareth,43.24,/swimmer/402750,"Howell, NJ"
Joey Knapp,Nazareth,-1.0,,
Luis Martinez,Hartwick,83.93,/swimmer/1208562,"Evanston, IL"
Fynn Vossler,Alfred,70.69,/swimmer/396521,"Livonia, NY"
Dylan Long,Nazareth,44.58,/swimmer/396074,"Mexico, NY"
Rj Zellner,Alfred,-1.0,,
