ID,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
524819,27.29,,,58.88,,,2:04.42,,,5:29.79,,,,,,,,,1:09.44,,,2:29.53,,,1:27.37,,,,,,,,,,,,,,,,3:00.91,,,,86.01,,,79.6,,,67.86,,,66.11,,,,,,,,,100.0,,,100.0,,,100.0,,,,,,,,,,,,,,,,100.0,,,
674090,24.08,,,52.90,,,1:58.30,,,5:22.86,,,,,,,,,59.39,,,2:11.29,,,,,,,,3:41.82,1:04.49,,,,,,1:12.74,,,,2:46.24,,,,28.1,,,30.52,,,44.43,,,55.92,,,,,,,,,46.1,,,55.21,,,,,,,,100.0,88.27,,,,,,100.0,,,,89.1,,,
575863,,,,,,,2:10.66,,,5:46.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.24,,,90.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748354,25.58,,,57.62,,,2:10.38,,,5:59.78,,,,,,,,,1:02.00,,,2:15.02,,,1:15.08,,,2:46.76,,,1:11.39,,,,,,1:07.24,,2:25.90,,,,,,53.36,,,68.37,,,93.0,,,100.0,,,,,,,,,66.08,,,68.73,,,97.63,,,100.0,,,100.0,,,,,,94.82,,96.11,,,,,
694433,30.5,,,1:09.26,,,2:42.18,,,,,,,,,,,,1:24.02,,,2:57.01,,,1:20.48,,,2:54.93,,,1:15.22,,,2:46.95,,,,,2:44.48,,,5:35.19,,,100.0,,,100.0,,,100.0,,,,,,,,,,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,,,100.0,,,100.0,,
1860771,26.24,,,57.70,,,2:04.89,,,5:28.79,,,11:38.05,,,,,,,,1:25.60,,,3:00.89,1:22.96,,,,,,1:12.33,,,3:04.68,,,1:21.77,,2:29.79,,,,,,66.8,,,69.91,,,67.79,,,62.17,,,71.74,,,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,100.0,,,100.0,,100.0,,,,,
447488,,,28.45,53.77,,,1:55.52,,,5:11.23,,,10:41.14,,,17:40.25,,,1:02.26,,,2:19.34,,,1:12.78,,,2:39.71,,,,,1:07.32,2:16.25,,,1:01.89,,2:14.20,,,,,,,,40.37,37.02,,,34.55,,,37.7,,,36.11,,,32.39,,,67.4,,,85.35,,,78.5,,,85.83,,,,,45.33,63.09,,,33.35,,49.38,,,,,
388400,,,27.94,52.99,,,1:52.99,,,5:09.42,,,10:32.53,,,18:59.77,,,55.56,,,2:01.18,,,1:11.78,,,,,2:47.21,55.76,,,2:03.56,,,1:04.82,,2:06.08,,,,,4:58.91,,,32.85,29.82,,,24.06,,,35.33,,,26.98,,,62.47,,,18.98,,,21.11,,,69.34,,,,,42.58,20.67,,,20.0,,,65.32,,24.04,,,,,17.26
388400,,,27.94,52.99,,,1:52.99,,,5:09.42,,,10:32.53,,,18:59.77,,,55.56,,,2:01.18,,,1:11.78,,,,,2:47.21,55.76,,,2:03.56,,,1:04.82,,2:06.08,,,,,4:58.91,,,32.85,29.82,,,24.06,,,35.33,,,26.98,,,62.47,,,18.98,,,21.11,,,69.34,,,,,42.58,20.67,,,20.0,,,65.32,,24.04,,,,,17.26
709906,,,,,,,2:05.73,,,5:47.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468361,25.36,,,54.93,,,,,2:18.73,,,5:09.90,,,,,,,55.83,,,2:04.50,,,,,1:28.85,,,,56.90,,,2:32.06,,,,,2:07.57,,,,,5:21.82,49.47,,,46.01,,,,,56.95,,,88.0,,,,,,,20.99,,,32.5,,,,,100.0,,,,28.97,,,100.0,,,,,28.46,,,,,47.03
359233,24.42,,,52.43,,,1:56.14,,,4:56.68,,,,,,,,,,,1:33.21,,,,1:04.36,,,2:20.32,,,,,1:20.93,,,,1:06.14,,2:03.43,,,4:25.52,,,30.74,,,24.56,,,32.9,,,19.61,,,,,,,,,,,100.0,,,,19.91,,,23.17,,,,,100.0,,,,80.82,,15.25,,,19.01,,
463641,,,28.39,53.21,,,1:56.67,,,5:40.00,,,12:29.03,,,,,20:16.64,1:03.86,,,2:21.19,,,,,1:26.72,2:48.55,,,58.78,,,,,,1:14.42,,,,2:40.92,5:05.84,,,,,39.49,32.81,,,38.58,,,79.22,,,100.0,,,,,85.29,80.56,,,92.79,,,,,100.0,100.0,,,42.07,,,,,,100.0,,,,75.24,84.55,,
851379,,,29.92,,,1:03.55,2:00.54,,,5:24.52,,,11:34.80,,,19:01.12,,,1:09.21,,,,,3:56.25,,,2:05.44,,,,,,1:18.24,,,2:55.53,1:23.10,,,,2:45.15,5:19.93,,,,,62.91,,,51.13,50.96,,,55.97,,,69.37,,,65.82,,,100.0,,,,,100.0,,,100.0,,,,,,100.0,,,100.0,100.0,,,,85.14,100.0,,
522063,24.41,,,,,,1:54.01,,,5:08.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.11,,,,,,59.79,,,64.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152013,,,27.71,,,58.32,,,2:07.37,4:58.00,,,,,9:21.30,,,17:51.20,1:01.07,,,2:09.97,,,,,1:30.06,2:53.78,,,1:15.65,,,,,,1:10.54,,2:23.64,,,,,,,,28.57,,,16.47,,,20.91,22.82,,,,,26.68,,,26.59,58.76,,,50.6,,,,,100.0,100.0,,,100.0,,,,,,100.0,,87.18,,,,,
1738224,23.61,,,50.43,,,1:49.95,,,5:22.23,,,11:11.25,,,18:49.39,,,57.96,,,2:07.67,,,1:16.43,,,,,,56.52,,,2:03.97,,,,1:42.28,2:18.27,,,,,,69.44,,,55.48,,,50.62,,,85.97,,,82.02,,,86.96,,,82.07,,,82.06,,,100.0,,,,,,72.18,,,59.84,,,,100.0,100.0,,,,,
486824,22.68,,,48.22,,,1:51.20,,,5:22.20,,,,,,,,,52.33,,,1:59.51,,,1:11.62,,,2:44.58,,,57.17,,,,2:48.19,,1:25.86,,,,2:26.75,4:40.16,,,50.31,,,34.83,,,55.0,,,90.43,,,,,,,,,36.25,,,53.2,,,100.0,,,100.0,,,80.8,,,,100.0,,100.0,,,,77.84,82.57,,
623207,24.67,,,52.70,,,1:53.59,,,5:02.81,,,10:32.17,,,17:58.24,,,,,1:10.59,,,2:30.23,1:06.87,,,2:31.18,,,54.97,,,2:01.36,,,59.91,,2:06.26,,,4:25.38,,,93.16,,,75.7,,,65.15,,,58.25,,,59.24,,,66.18,,,,,100.0,,,98.04,90.49,,,100.0,,,60.84,,,55.76,,,100.0,,67.94,,,55.33,,
777758,22.72,,,,,56.90,1:44.75,,,4:43.95,,,10:28.11,,,17:16.56,,,59.54,,,2:11.82,,,1:10.20,,,2:31.40,,,55.20,,,2:00.72,,,1:11.69,,2:04.51,,,4:34.50,,,51.1,,,,,52.87,29.73,,,30.66,,,56.21,,,47.76,,,100.0,,,100.0,,,100.0,,,100.0,,,62.85,,,53.32,,,100.0,,61.1,,,71.79,,
