ID,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
688404,24.08,,,51.54,,,1:58.74,,,5:41.05,,,11:24.29,,,,,20:25.45,1:05.16,,,2:17.98,,,1:06.46,,,2:33.24,,,1:00.90,,,2:34.21,,,1:14.59,,2:08.45,,,4:50.25,,,85.02,,,69.05,,,92.53,,,100.0,,,100.0,,,,,100.0,100.0,,,100.0,,,93.68,,,100.0,,,100.0,,,100.0,,,100.0,,81.02,,,100.0,,
898725,,,25.83,,54.12,,,,2:02.76,,,4:19.71,,,,,,16:54.91,,1:04.01,,,,2:32.76,,1:05.03,,,2:21.26,,,,1:04.46,,,,,1:01.02,,,2:16.79,,,4:52.03,,,50.01,,40.68,,,,40.82,,,41.32,,,,,,31.6,,87.76,,,,100.0,,33.04,,,32.35,,,,79.74,,,,,29.55,,,47.47,,,44.79
240079,,,,,,,1:50.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691428,,,25.10,50.69,,,1:54.84,,,5:00.02,,,,,,,,,55.60,,,,,,58.87,,,2:10.64,,,53.77,,,,,,,,1:58.13,,,4:19.72,,,,,37.73,60.87,,,74.27,,,57.12,,,,,,,,,68.34,,,,,,34.92,,,43.08,,,54.84,,,,,,,,41.03,,,50.28,,
466130,,,25.86,48.90,,,1:45.63,,,4:41.87,,,9:56.54,,,,,,58.51,,,2:08.00,,,1:03.27,,,2:20.01,,,52.32,,,1:55.18,,,,,1:59.76,,,4:20.43,,,,,50.53,44.53,,,35.84,,,30.46,,,33.68,,,,,,96.01,,,94.62,,,67.24,,,75.89,,,42.73,,,36.61,,,,,46.9,,,51.51,,
148016,23.33,,,50.81,,,1:54.85,,,5:10.67,,,,,,,,,55.72,,,,,,1:11.56,,,,,,55.69,,,,,,1:18.04,,2:04.34,,,,,,59.84,,,55.2,,,67.54,,,69.21,,,,,,,,,61.37,,,,,,100.0,,,,,,61.01,,,,,,100.0,,56.54,,,,,
407007,,,27.51,,,57.29,1:48.19,,,4:45.07,,,10:27.89,,,17:37.02,,,,,,,,,1:11.16,,,2:30.46,,,53.06,,,2:03.41,,,,,2:07.17,,,4:25.37,,,,,71.89,,,47.48,40.22,,,30.96,,,48.35,,,56.3,,,,,,,,,100.0,,,100.0,,,39.39,,,58.69,,,,,67.4,,,51.94,,
394760,,,26.17,50.34,,,1:47.95,,,4:57.30,,,10:28.33,,,17:07.82,,,53.55,,,1:55.97,,,59.82,,,2:08.51,,,,,1:28.56,2:23.43,,,55.93,,1:55.40,,,4:14.63,,,,,48.12,50.96,,,39.29,,,48.41,,,48.66,,,43.78,,,43.35,,,37.1,,,36.04,,,30.79,,,,,100.0,100.0,,,74.13,,25.34,,,34.35,,
452363,24.00,,,48.65,,,,,2:04.84,4:46.73,,,9:49.16,,,16:26.79,,,59.11,,,2:12.99,,,1:03.39,,,2:16.87,,,54.75,,,2:01.43,,,1:13.82,,2:01.05,,,4:32.22,,,83.19,,,42.34,,,,,48.05,37.28,,,28.81,,,30.32,,,100.0,,,100.0,,,68.19,,,64.39,,,63.41,,,59.91,,,100.0,,51.67,,,72.89,,
706760,22.99,,,49.57,,,1:46.15,,,4:41.92,,,9:41.61,,,16:04.13,,,1:20.64,,,,,,,,1:25.03,3:13.29,,,,,59.40,1:54.95,,,1:21.62,,2:10.13,,,,,5:00.89,61.14,,,50.51,,,37.84,,,30.53,,,23.96,,,21.61,,,100.0,,,,,,,,100.0,100.0,,,,,40.86,35.8,,,100.0,,88.18,,,,,58.28
