,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
960460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459741,22.08,,,,,54.92,1:41.91,,,4:42.05,,,10:58.85,,,,,17:14.60,58.57,,,2:09.14,,,1:03.46,,,2:26.90,,,54.57,,,2:03.51,,,56.35,,1:59.84,,,4:25.38,,,42.87,,,,,35.65,22.09,,,30.71,,,79.75,,,,,39.35,96.61,,,99.84,,,68.74,,,100.00,,,61.81,,,68.22,,,39.38,,47.19,,,60.26,,
469880,21.75,,,48.34,,,1:47.66,,,5:11.23,,,,,,,,,52.96,,,2:06.71,,,1:05.20,,,,,,49.49,,,1:52.17,,,58.60,,1:57.05,,,,,,36.60,,,39.65,,,43.76,,,75.28,,,,,,,,,45.61,,,88.82,,,82.92,,,,,,20.95,,,26.26,,,56.63,,37.22,,,,,
476740,21.43,,,47.03,,,1:42.80,,,4:47.14,,,10:00.87,,,17:38.25,,,57.89,,,,,2:40.61,1:02.36,,,,,2:54.84,52.96,,,2:39.00,,,1:00.95,,1:58.34,,,4:37.40,,,30.70,,,28.68,,,25.29,,,37.86,,,36.59,,,60.50,,,89.88,,,,,100.00,60.17,,,,,100.00,47.99,,,100.00,,,76.11,,41.77,,,82.89,,
388648,,,25.82,,,56.93,,,2:03.51,5:07.70,,,10:42.62,,,17:40.87,,,58.92,,,2:18.66,,,59.66,,,2:08.99,,,,,1:00.88,2:09.88,,,,,1:58.67,,,4:18.85,,,,,42.29,,,44.73,,,39.52,64.43,,,58.96,,,58.01,,,90.61,,,100.00,,,34.96,,,32.25,,,,,43.91,84.81,,,,,36.22,,,41.09,,
667411,,,25.15,,,54.29,,,1:58.75,4:45.34,,,9:49.71,,,16:34.62,,,,,1:01.37,1:56.07,,,58.72,,,2:06.78,,,,,57.81,,,2:15.35,55.04,,1:51.48,,,4:02.17,,,,,31.58,,,25.65,,,24.12,31.33,,,23.07,,,30.39,,,,,47.31,37.45,,,28.73,,,25.62,,,,,23.36,,,43.29,66.00,,13.10,,,15.71,,
585431,22.33,,,51.31,,,,,2:27.07,,,,,,,,,,,,1:16.18,,,,,,1:29.86,,,,,,1:14.00,,,,,,,,2:46.47,,,,40.27,,,59.80,,,,,100.00,,,,,,,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,,,100.00,,,
475508,,,24.57,45.56,,,1:40.51,,,4:39.39,,,9:53.83,,,16:53.38,,,,,1:11.38,2:19.29,,,,,1:37.67,,,,57.83,,,,,,1:31.29,,2:08.35,,,5:32.56,,,,,29.25,17.08,,,17.17,,,27.08,,,31.88,,,41.06,,,,,100.00,100.00,,,,,100.00,,,,92.38,,,,,,100.00,,80.60,,,100.00,,
377769,23.13,,,50.40,,,1:49.64,,,5:07.72,,,,,,,,19:31.93,,,1:03.88,1:59.45,,,59.98,,,2:07.39,,,55.96,,,,,2:39.26,55.04,,1:56.12,,,4:12.77,,,55.79,,,51.50,,,45.89,,,64.46,,,,,,,,100.00,,,66.00,49.73,,,37.13,,,27.43,,,63.34,,,,,100.00,66.00,,27.69,,,31.45,,
438670,,,25.97,49.13,,,1:46.92,,,4:49.74,,,10:38.81,,,18:49.30,,,1:01.41,,,2:11.36,,,1:00.67,,,2:16.45,,,53.28,,,2:07.00,,,1:00.36,,2:01.45,,,4:35.24,,,,,52.45,46.56,,,40.84,,,41.61,,,63.93,,,94.83,,,100.00,,,100.00,,,47.58,,,62.89,,,50.67,,,82.80,,,71.07,,53.17,,,78.68,,
322110,,,25.38,,,54.33,1:42.32,,,4:33.67,,,9:25.56,,,15:45.19,,,54.82,,,2:01.29,,,,,1:18.27,2:12.81,,,52.85,,,1:54.38,,,55.50,,1:56.59,,,4:08.31,,,,,42.17,,,32.24,15.78,,,15.13,,,11.83,,,16.17,,,49.31,,,52.57,,,,,100.00,39.87,,,34.74,,,22.32,,,45.28,,26.97,,,26.17,,
332036,,,26.34,48.82,,,1:44.37,,,4:35.78,,,9:54.19,,,,,16:24.08,56.16,,,1:59.34,,,,,1:16.63,,,2:41.65,,,56.57,,,2:01.98,59.45,,1:55.88,,,4:06.48,,,,,51.00,37.78,,,25.99,,,18.66,,,25.87,,,,,21.97,65.20,,,49.31,,,,,88.83,,,73.36,,,15.66,,,5.15,100.00,,26.90,,,21.95,,
361874,21.41,,,46.74,,,1:39.27,,,4:28.60,,,,,8:34.09,,,16:21.74,49.26,,,1:46.54,,,56.66,,,2:01.74,,,51.08,,,1:50.43,,,,,1:47.82,,,3:51.57,,,21.18,,,18.25,,,5.82,,,8.91,,,,,21.69,,,26.35,8.61,,,3.72,,,11.53,,,7.96,,,21.75,,,10.18,,,,,1.00,,,2.52,,
601986,27.27,,,1:01.25,,,2:06.49,,,5:55.26,,,,,,,,,1:12.64,,,,,,1:33.48,,,,,,,,,,,,,,,,,,,,100.00,,,100.00,,,100.00,,,100.00,,,,,,,,,100.00,,,,,,100.00,,,,,,,,,,,,,,,,,,,
484961,23.31,,,50.08,,,1:48.59,,,4:56.99,,,10:30.22,,,17:25.65,,,54.91,,,1:59.42,,,57.18,,,2:06.79,,,54.58,,,2:03.87,,,,,1:56.49,,,4:28.36,,,67.92,,,55.17,,,47.49,,,52.44,,,57.44,,,54.87,,,62.18,,,58.23,,,23.71,,,30.88,,,61.90,,,69.68,,,,,35.27,,,65.68,,
281351,,,,,,,1:55.16,,,5:07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.64,,,62.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512064,23.05,,,49.05,,,,,2:01.67,4:41.64,,,9:41.29,,,16:19.27,,,53.93,,,1:55.13,,,1:02.26,,,2:12.97,,,,,1:04.03,2:09.30,,,,,,,2:12.79,4:05.44,,,62.40,,,45.85,,,,,37.13,30.15,,,23.76,,,27.38,,,53.71,,,41.89,,,59.41,,,50.82,,,,,76.19,92.85,,,,,,,34.99,26.99,,
394369,22.81,,,48.71,,,1:44.92,,,4:44.24,,,9:49.55,,,16:24.70,,,,,1:10.97,2:05.20,,,1:07.54,,,2:40.71,,,52.47,,,1:56.53,,,57.96,,2:05.69,,,4:29.70,,,49.45,,,36.86,,,27.97,,,29.83,,,22.97,,,26.56,,,,,100.00,72.25,,,95.36,,,100.00,,,34.83,,,33.76,,,93.68,,61.66,,,59.45,,
452895,,,,,,54.51,,,1:56.89,,,4:02.60,,,8:21.68,15:51.71,,,,,,,,,,,,,,,,,1:01.62,,,2:17.17,,,,,,,,,,,,,,27.17,,,18.42,,,15.96,,,10.79,14.36,,,,,,,,,,,,,,,,,49.19,,,49.10,,,,,,,,
958132,,,,,,,,,2:03.30,,,4:24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:19.11,,,,,,,,,,,,38.82,,,49.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.92,,,
508403,,,25.60,,,56.76,,,2:00.19,4:43.85,,,,,,16:26.05,,,,,57.98,,,2:03.68,,,,,,,,,56.67,,,2:06.58,,,,,2:17.17,,,,,,46.07,,,49.64,,,32.22,33.21,,,,,,30.03,,,,,29.08,,,20.90,,,,,,,,,22.45,,,24.01,,,,,48.69,,,
